Date,Source,Site ID,POC,oval,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,ox,oy
8/1/2022,AQS,480271045,1,0.043,ppm,40,Temple Georgia,17,100,44201,Ozone,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
8/1/2022,AQS,480290032,2,0.04,ppm,37,San Antonio Northwest,17,100,44201,Ozone,41700,"San Antonio-New Braunfels, TX",48,Texas,29,Bexar,29.51509,-98.620166
8/1/2022,AQS,480290052,1,0.044,ppm,41,Camp Bullis,17,100,44201,Ozone,41700,"San Antonio-New Braunfels, TX",48,Texas,29,Bexar,29.632058,-98.564936
8/1/2022,AQS,480290059,1,0.037,ppm,34,Calaveras Lake,17,100,44201,Ozone,41700,"San Antonio-New Braunfels, TX",48,Texas,29,Bexar,29.275381,-98.311692
8/1/2022,AQS,480391004,1,0.03,ppm,28,Manvel Croix Park,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,39,Brazoria,29.520443,-95.392509
8/1/2022,AQS,480391016,1,0.028,ppm,26,Lake Jackson,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,39,Brazoria,29.043759,-95.472946
8/1/2022,AQS,480430101,1,0.043,ppm,40,Big Bend NP - K-Bar Ranch Road,17,100,44201,Ozone,,,48,Texas,43,Brewster,29.30265,-103.17781
8/1/2022,AQS,480611023,1,0.028,ppm,26,Harlingen Teege,17,100,44201,Ozone,15180,"Brownsville-Harlingen, TX",48,Texas,61,Cameron,26.200335,-97.712684
8/1/2022,AQS,480850005,1,0.053,ppm,49,Frisco,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,85,Collin,33.1324,-96.786419
8/1/2022,AQS,481130069,3,0.039,ppm,36,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
8/1/2022,AQS,481130087,1,0.052,ppm,48,Dallas Redbird Airport Executive,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.676451,-96.87206
8/1/2022,AQS,481210034,1,0.063,ppm,77,Denton Airport South,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,121,Denton,33.219069,-97.196284
8/1/2022,AQS,481211032,1,0.057,ppm,58,Pilot Point,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,121,Denton,33.410648,-96.94459
8/1/2022,AQS,481391044,1,0.038,ppm,35,Italy,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,139,Ellis,32.175417,-96.870189
8/1/2022,AQS,481410029,1,0.053,ppm,49,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
8/1/2022,AQS,481410044,1,0.058,ppm,61,El Paso Chamizal,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
8/1/2022,AQS,481410055,1,0.058,ppm,61,Ascarate Park SE,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.746775,-106.402806
8/1/2022,AQS,481410057,1,0.066,ppm,87,Socorro Hueco,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.6675,-106.288
8/1/2022,AQS,481410058,1,0.054,ppm,50,Skyline Park,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.893913,-106.425827
8/1/2022,AQS,481411021,1,0.066,ppm,87,Ojo De Agua,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.86247,-106.5473
8/1/2022,AQS,481671034,1,0.026,ppm,24,Galveston 99th Street,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,167,Galveston,29.254474,-94.861289
8/1/2022,AQS,481830001,2,0.041,ppm,38,Longview,17,100,44201,Ozone,30980,"Longview, TX",48,Texas,183,Gregg,32.378696,-94.711813
8/1/2022,AQS,482010024,2,0.032,ppm,30,Houston Aldine,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.901036,-95.326137
8/1/2022,AQS,482010026,3,0.03,ppm,28,Channelview,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.802707,-95.125495
8/1/2022,AQS,482010029,2,0.042,ppm,39,Northwest Harris County,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,30.039524,-95.673951
8/1/2022,AQS,482010046,1,0.029,ppm,27,Houston North Wayside,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.828086,-95.284096
8/1/2022,AQS,482010047,2,0.033,ppm,31,Lang,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.834167,-95.489167
8/1/2022,AQS,482010051,2,0.029,ppm,27,Houston Croquet,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.623889,-95.474167
8/1/2022,AQS,482010055,1,0.034,ppm,31,Houston Bayland Park,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.695729,-95.499219
8/1/2022,AQS,482010062,1,0.027,ppm,25,Houston Monroe,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.625556,-95.267222
8/1/2022,AQS,482010066,1,0.03,ppm,28,Houston Westhollow,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.723333,-95.635833
8/1/2022,AQS,482010416,1,0.032,ppm,30,Park Place,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.686389,-95.294722
8/1/2022,AQS,482010417,1,0.034,ppm,31,Houston Harvard Street,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.772915,-95.395784
8/1/2022,AQS,482011015,1,0.03,ppm,28,Lynchburg Ferry,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.758889,-95.079444
8/1/2022,AQS,482011017,1,0.039,ppm,36,Baytown Garth,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.827158,-94.988423
8/1/2022,AQS,482011034,2,0.033,ppm,31,Houston East,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.767997,-95.220582
8/1/2022,AQS,482011035,3,0.03,ppm,28,Clinton,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.733726,-95.257593
8/1/2022,AQS,482011039,1,0.03,ppm,28,Houston Deer Park #2,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.670025,-95.128508
8/1/2022,AQS,482011050,1,0.024,ppm,22,Seabrook Friendship Park,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,201,Harris,29.583047,-95.015544
8/1/2022,AQS,482030002,1,0.041,ppm,38,Karnack,17,100,44201,Ozone,32220,"Marshall, TX",48,Texas,203,Harrison,32.669001,-94.167468
8/1/2022,AQS,482150043,1,0.035,ppm,32,Mission,17,100,44201,Ozone,32580,"McAllen-Edinburg-Mission, TX",48,Texas,215,Hidalgo,26.226343,-98.2908496
8/1/2022,AQS,482210001,1,0.042,ppm,39,Granbury,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,221,Hood,32.442304,-97.803529
8/1/2022,AQS,482311006,1,0.043,ppm,40,Greenville,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,231,Hunt,33.153088,-96.115572
8/1/2022,AQS,482450009,2,0.027,ppm,25,Beaumont Downtown,17,100,44201,Ozone,13140,"Beaumont-Port Arthur, TX",48,Texas,245,Jefferson,30.036422,-94.071061
8/1/2022,AQS,482450011,1,0.026,ppm,24,Port Arthur West,17,100,44201,Ozone,13140,"Beaumont-Port Arthur, TX",48,Texas,245,Jefferson,29.897516,-93.991084
8/1/2022,AQS,482450101,1,0.029,ppm,27,SETRPC  40  Sabine Pass,17,100,44201,Ozone,13140,"Beaumont-Port Arthur, TX",48,Texas,245,Jefferson,29.727931,-93.894081
8/1/2022,AQS,482450102,1,0.026,ppm,24,SETRPC 43 Jefferson Co Airport,17,100,44201,Ozone,13140,"Beaumont-Port Arthur, TX",48,Texas,245,Jefferson,29.9425,-94.000556
8/1/2022,AQS,482451035,1,0.029,ppm,27,Nederland 17th Street,17,100,44201,Ozone,13140,"Beaumont-Port Arthur, TX",48,Texas,245,Jefferson,29.979958,-94.004746
8/1/2022,AQS,482510003,1,0.044,ppm,41,Cleburne Airport,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,251,Johnson,32.353595,-97.436742
8/1/2022,AQS,482570005,1,0.042,ppm,39,Kaufman,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,257,Kaufman,32.564968,-96.317687
8/1/2022,AQS,483091037,1,0.038,ppm,35,Waco Mazanec,17,100,44201,Ozone,47380,"Waco, TX",48,Texas,309,McLennan,31.653086,-97.070704
8/1/2022,AQS,483390078,1,0.052,ppm,48,Conroe Relocated,17,100,44201,Ozone,26420,"Houston-The Woodlands-Sugar Land, TX",48,Texas,339,Montgomery,30.350302,-95.425128
8/1/2022,AQS,483491051,1,0.047,ppm,44,Corsicana Airport,17,100,44201,Ozone,18620,"Corsicana, TX",48,Texas,349,Navarro,32.031934,-96.399141
8/1/2022,AQS,483550025,2,0.026,ppm,24,Corpus Christi West,17,100,44201,Ozone,18580,"Corpus Christi, TX",48,Texas,355,Nueces,27.76534,-97.434262
8/1/2022,AQS,483550026,1,0.023,ppm,21,Corpus Christi Tuloso,17,100,44201,Ozone,18580,"Corpus Christi, TX",48,Texas,355,Nueces,27.832413,-97.555387
8/1/2022,AQS,483611001,2,0.028,ppm,26,West Orange,17,100,44201,Ozone,13140,"Beaumont-Port Arthur, TX",48,Texas,361,Orange,30.085263,-93.761341
8/1/2022,AQS,483670081,1,0.044,ppm,41,Parker County,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,367,Parker,32.868773,-97.905931
8/1/2022,AQS,483739991,1,0.045,ppm,42,Alabama-Coushatta,17,100,44201,Ozone,,,48,Texas,373,Polk,30.7017,-94.6742
8/1/2022,AQS,483819991,1,0.045,ppm,42,Palo Duro,17,100,44201,Ozone,11100,"Amarillo, TX",48,Texas,381,Randall,34.8803,-101.6649
8/1/2022,AQS,483970001,1,0.039,ppm,36,Rockwall Heath,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,397,Rockwall,32.936523,-96.459211
8/1/2022,AQS,484230007,1,0.044,ppm,41,Tyler Airport Relocated,17,100,44201,Ozone,46340,"Tyler, TX",48,Texas,423,Smith,32.344027,-95.415754
8/1/2022,AQS,484390075,1,0.052,ppm,48,Eagle Mountain Lake,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,439,Tarrant,32.987891,-97.477175
